itstId,itstNm,mapCtptIntLat,mapCtptIntLot,,,
1282,동양미래대학교,37.4995878,126.867515,,,
1283,제일제당앞,37.499753,126.8746312,,,
1284,신도림대우푸르지오,37.5094222,126.8888701,,,
1286,외발산사거리,37.5518562,126.8165775,,,
1289,성수SKV1센터,37.5469035,127.0666623,,,
129,화곡고가밑,37.527766,126.8489599,,,
1294,여의도공원,37.5242539,126.9216726,,,
1296,여의도광장,37.5269682,126.9259912,,,
130,목동사거리,37.5324079,126.8637392,,,
1300,신트리공원앞,37.5136696,126.8558703,,,
1301,신사동주민센터앞,37.4848622,126.9139674,,,
1303,구로소방서,37.4980986,126.8650692,,,
1307,신도림SK뷰,37.5077251,126.8864342,,,
131,홍익병원,37.529852,126.8639811,,,
1311,대림우성아파트,37.4943499,126.9108883,,,
1312,강남웨딩문화원,37.4867716,126.9046821,,,
1313,사육신공원,37.5127235,126.950755,,,
1315,화랑대사거리,37.6215202,127.0871954,,,
1316,기아대교앞,37.4387578,126.9031489,,,
1317,경남교수아파트,37.4965942,126.9142821,,,
132,목동7단지,37.5277056,126.8641695,,,
1324,기상청입구,37.4971956,126.9175609,,,
1327,태릉시장,37.5995615,127.0799044,,,
1328,인덕대학입구,37.6287176,127.0566911,,,
1329,체육과학연구원,37.6353835,127.1058072,,,
133,목동역,37.5261313,126.86433,,,
134,남부법원.검찰청,37.522482,126.8654334,,,
1344,방학신동아아파트,37.6617744,127.0275704,,,
1347,번3동주민센터,37.6265503,127.0474889,,,
1365,방화초교,37.5678008,126.807633,,,
1366,목동119안전센터,37.542824,126.8839612,,,
1369,둔촌사거리,37.5214436,127.1338209,,,
1370,에이스하이엔드,37.4814399,126.8924436,,,
1371,디지털1단지,37.4845783,126.8953766,,,
1375,서초롯데캐슬아파트,37.5008325,127.0223736,,,
1376,서초보금자리삼거리,37.4574587,127.015052,,,
1382,상일IC,37.5469781,127.1735795,,,
1383,안암교,37.5770521,127.028177,,,
1385,화랑대역,37.6204416,127.0844659,,,
139,영등포구청앞,37.5259881,126.8966682,,,
1392,806전투경찰대,37.6192813,126.9055659,,,
1395,은혜산부인과,37.607864,126.9247807,,,
1396,양광교회,37.6084925,126.9286966,,,
1400,중화역,37.6015902,127.0794582,,,
1409,능동로분수광장,37.5431087,127.0721262,,,
141,남정초교,37.5367558,126.9640169,,,
1411,발산역,37.5585656,126.8382311,,,
1412,궁동터널입구,37.5070753,126.8382113,,,
1414,동대문소방서,37.5638221,127.0661796,,,
1417,신정배수펌프장,37.5255313,126.8778681,,,
1419,온수역입구,37.4902191,126.8258778,,,
142,한진해운빌딩앞,37.5240898,126.9255236,,,
1420,삼성교,37.4708937,126.941437,,,
1424,교보타워사거리,37.5045212,127.0244863,,,
1426,산골고개,37.5976128,126.938609,,,
1429,정은스카이빌,37.5223505,126.8502162,,,
143,공항천주교회,37.5550885,126.8123755,,,
1437,KBS스포츠월드,37.5568376,126.8497898,,,
1445,동문빌딩,37.5212623,126.8687223,,,
1446,AT센터,37.4686115,127.0398477,,,
1449,월드빌아파트,37.586706,126.9123647,,,
1452,난향초교입구,37.4629883,126.9189999,,,
1453,보성운수종점,37.4641841,126.9191902,,,
146,탑성마을,37.4587999,127.0560009,,,
1460,개나리아파트정문,37.4993609,127.0471824,,,
1462,코오롱글로벌빌딩앞,37.558173,127.0770269,,,
1463,종로노인복지관앞,37.5756133,127.0050093,,,
1466,탄천교,37.4942083,127.1037845,,,
1467,가리봉사거리,37.4817961,126.8866962,,,
147,창4동주민센터,37.652399,127.0511283,,,
1473,흰돌교회,37.5884215,127.0799976,,,
1474,봉화환승주차장,37.6163978,127.0934141,,,
1476,중랑소방서,37.6156533,127.0950985,,,
1479,정릉천주교회,37.6078185,127.0040433,,,
148,국회의사당,37.5288059,126.9165964,,,
1480,양천향교역,37.5684552,126.8413132,,,
1481,공진중학교,37.5644029,126.8488601,,,
1483,개봉1동사거리,37.501598,126.8465594,,,
1486,등촌역,37.5514435,126.8640003,,,
149,국회도서관,37.5303325,126.9190971,,,
1491,종암사거리,37.6034197,127.0321738,,,
1496,사러가시장앞,37.5058486,126.9110174,,,
1498,은천삼거리,37.4856388,126.9561764,,,
1499,삼성129동앞,37.5067948,127.0957856,,,
150,서울디자인지원센터,37.5729392,127.0075758,,,
1500,잠실119안전센터,37.5070194,127.0941344,,,
1506,종묘입구,37.5726051,126.9915319,,,
151,이화사거리,37.5761684,127.0022106,,,
1510,심미아파트,37.5250441,126.8562118,,,
1517,상일동역사거리,37.5571909,127.1713299,,,
1524,가리봉치안센터,37.4787286,126.8936444,,,
1525,목동13.14단지,37.5140373,126.8697183,,,
1526,강서면허시험장,37.5485973,126.8199932,,,
1527,용마초교,37.5561132,127.081971,,,
1529,서남충전소,37.5727576,126.8288415,,,
1531,서빙고역,37.5202893,126.9906666,,,
1536,부암동주민센터,37.592851,126.9640581,,,
1537,정동,37.5683276,126.9691612,,,
154,꿈의숲동문주차장입구,37.6211894,127.0456578,,,
1541,길동시장,37.5346296,127.1363714,,,
1544,가마산지하차도,37.4920032,126.8821241,,,
1546,등서초교입구,37.5526799,126.853288,,,
155,송정동공영주차장,37.550157,127.0685383,,,
1552,이수역,37.4853994,126.9821635,,,
1554,대조초교,37.6132538,126.917613,,,
1558,국민망우삼거리,37.5991975,127.0973412,,,
1559,망우지구대,37.5986384,127.0950574,,,
156,혜화동로터리,37.5855368,127.0011974,,,
1560,면목아이파크102동,37.5813116,127.0813421,,,
1562,구로삼각공원,37.5015829,126.891501,,,
1567,응암1동경향렉스빌,37.6010644,126.9251255,,,
157,세운상가,37.5705684,126.9950438,,,
1571,관악현대아파트,37.4908408,126.9564421,,,
1574,동대문역,37.5720141,127.0122574,,,
1575,능산사거리,37.608389,127.1009941,,,
158,청계6가,37.5699421,127.0096899,,,
1590,동양종합금융증권,37.4939478,127.1215,,,
1596,월계건강관리센터,37.6314925,127.0610488,,,
1598,은행사거리,37.6506655,127.0767348,,,
160,삼성힐스테이트2단지앞,37.512433,127.0511972,,,
1602,대일고교,37.5393159,126.8637239,,,
1603,거리공원,37.5008895,126.8901853,,,
1607,당곡사거리,37.4893893,126.927906,,,
1608,신성교,37.4709465,126.9377066,,,
1609,구로한일카센터,37.480483,126.8912405,,,
161,세곡동주민센터앞,37.4692409,127.1079628,,,
1611,탑골공원,37.5716041,126.9876359,,,
1612,군악대,37.5018685,126.9797866,,,
1615,테라팰리스건대4차,37.5449741,127.0730011,,,
1616,난곡119안전센터,37.4758076,126.9163204,,,
1619,서울역사박물관,37.5698431,126.9713258,,,
1620,국일관,37.5703027,126.9897302,,,
1623,센스빌오피스텔,37.5494806,127.0561047,,,
1625,이수교차로,37.4997565,126.98502,,,
1627,영림중,37.4969637,126.892101,,,
1637,일영유리,37.6086715,126.9995954,,,
1648,한전성서지점,37.6057415,126.9341247,,,
1649,대성주유소,37.603858,126.9349109,,,
165,신목동역,37.5441406,126.8831132,,,
1650,가양주유소앞,37.5661718,126.8455307,,,
1654,동부제일병원,37.6004723,127.1082698,,,
1656,수락산역남측,37.6760556,127.0552833,,,
1657,응봉교,37.5473648,127.0365249,,,
1658,상원삼거리,37.5508627,127.0521265,,,
1659,당산중,37.5320085,126.9057568,,,
166,농협태릉지점,37.61826,127.0773038,,,
1661,노일초교,37.673971,127.0554039,,,
1662,가좌역,37.5691157,126.9152728,,,
167,압구정현대아파트77동앞,37.5302933,127.0277142,,,
1670,화양사거리,37.5483276,127.0674707,,,
1671,화양시장,37.548019,127.0704906,,,
1672,어린이대공원역,37.5472691,127.0741779,,,
1673,건대입구삼거리,37.5463846,127.0762885,,,
1674,구의시장,37.5446658,127.0906412,,,
1675,구의수원지,37.5438644,127.0929565,,,
1676,광장자이아파트,37.5426764,127.0942985,,,
1677,해동카도크,37.5436728,127.0590234,,,
1678,건대입구역,37.5399365,127.070598,,,
1679,건대후문,37.5387924,127.0743779,,,
1680,자양삼거리,37.5380546,127.077099,,,
1681,자양초교,37.537659,127.0789587,,,
1682,자양사거리,37.5365645,127.0835634,,,
1685,광장현대8단지,37.542021,127.0985017,,,
1691,잠실대교북단사거리,37.5324684,127.0853888,,,
1692,치과의사회관앞,37.5487476,127.0583016,,,
1694,성수1차대우아파트,37.5455673,127.0659301,,,
1695,세종대,37.5490112,127.0752935,,,
1697,광진구청,37.5383368,127.0833564,,,
